bcsid,degsub,comb_code,HECoS_Label,dist,man_code
B10577Z,marketing management,N5,marketing,0.183333333,NA
B10582W,english and sociology,Q3,applied sociology,0.190009337,NA
B10586A,sports science and busine,C6,sport and exercise sciences,0.215364759,NA
B10614M,technology and management,D6,baking technology management,0.192896825,NA
B10636T,electrical and eloctronic,H6,electrical and electronic engineering,0.158228228,H6
B10638V,education with geography,L4,education policy,0.204365079,NA
B10639W,graphic design,W2,graphic design,0,NA
B10646V,computor science,I1,computer science,0.141666667,NA
B10658Z,information technology,I1,information technology,0,I1
B10670V,financial services,N3,financial risk,0.154863655,NA
B10675A,aeronautical engineering,H4,aeronautical engineering,0,NA
B10677C,french and german,R2,French language,0.19248366,NA
B10704N,law with marketing,M1,law,0.277777778,M1
B10736W,fine art,W1,fine art,0,NA
B10738Y,fine art,W1,fine art,0,NA
B10746Y,french and history,V1,French history,0.074074074,NA
B10783D,civil engineering,H2,civil engineering,0,NA
B10785F,mathematics,G1,mathematics,0,NA
B10793F,health science,F6,health sciences,0.022222222,NA
B10805S,midwifery,B7,midwifery,0,NA
B10815U,printing management,N3,financial management,0.220175439,NA
B10818X,business econmics,N1,business economics,0.018518519,NA
B10825W,environmental studioes,F7,environmental sciences,0.121212121,NA
B10826X,german and history,V1,German history,0.074074074,NA
B10850X,law,M0,law,0,NA
B10853A,graphic design,W2,graphic design,0,NA
B10854B,public administartion,L2,public administration,0.015873016,NA
B10872D,industrial studies,V6,Christian studies,0.150326797,NA
B10874F,psychology,C8,psychology,0,NA
B10879L,economics and public poli,L1,economic policy,0.204444444,NA
B10882F,german studies,R2,German studies,0,NA
B10884H,business studies,N1,business studies,0,NA
B10896M,mathematics and physics,G1,mathematics,0.173913043,G1
B10898P,history and english lit,V1,history of design,0.221824382,NA
B10904U,physiological sciences,F0,physical sciences,0.144385027,B1
B10906W,chemistry,F1,chemistry,0,NA
B10923X,accountancy,N4,accountancy,0,NA
B10941Z,systems analysis,I2,systems analysis and design,0.135802469,NA
B10943B,combined studies physics,Y0,combined studies,0.111111111,F3
B10956G,electronics,W3,electronic music,0.104166667,NA
B10958J,enviromeental studies,F7,environmental sciences,0.191558442,NA
B10960C,social policy,L4,social policy,0,NA
B10967K,mathematics,G1,mathematics,0,NA
B10973H,nutrition and biology,C1,nutrition,0.19047619,NA
B10985M,frenchgerman,R2,French literature,0.240196078,NA
B11000R,linguistic and internatio,Q1,linguistics,0.23030303,Q1
B11008Z,economics,L1,economics,0,NA
B11022X,medecine,A0,medicine,0.130952381,A1
B11024Z,mathematics,G1,mathematics,0,NA
B11036D,mathematics,G1,mathematics,0,NA
B11040Z,economics,L1,economics,0,NA
B11042B,computer science,I1,computer science,0,NA
B11060D,batchalor of education ed,X3,early years education,0.261865079,NA
B11061E,law,M0,law,0,NA
B11069N,sociology,L3,sociology,0,NA
B11075L,humanities,V1,humanities,0,NA
B11078P,mathematics,G1,mathematics,0,NA
B11093N,hotel management,C3,pest management,0.13258547,N8
B11113Z,quantity surveying,K2,quantity surveying,0,NA
B11119F,retail and distribution m,N8,travel and tourism,0.272244009,NA
B11130A,textile design,W2,textile design,0,NA
B11135F,chemistry,F1,chemistry,0,NA
B11166N,civil engineering,H2,civil engineering,0,NA
B11170J,mechanical engineering,H3,mechanical engineering,0,NA
B11175P,physics,F3,physics,0,NA
B11186S,information technology,I1,information technology,0,I1
B11187T,librarianship and informa,P1,librarianship,0.16,NA
B11190N,business studies,N1,business studies,0,NA
B11193R,nursing,B7,nursing,0,NA
B11205C,englishmedia cultural st,Q3,English studies,0.232539683,NA
B11212B,microbiology,C1,microbiology,0,NA
B11222D,microbiology,C1,microbiology,0,NA
B11226H,bachelor of education,D4,crop production,0.237301587,NA
B11243J,leisure manaement,N2,retail management,0.200980392,NA
B11246M,paper conservation,J5,paper technology,0.263888889,J5
B11253L,politics,L2,politics,0,NA
B11263N,bankinginsurance and fin,N3,banking,0.236111111,NA
B11278V,art and teaching,W7,clock and watchmaking,0.253586691,NA
B11282R,building surveying,K2,building surveying,0,NA
B11283S,ba business economics  m,N1,business economics,0.148148148,NA
B11285U,business studies,N1,business studies,0,NA
B11289Y,engineering  mechanical,H1,engineering design,0.193719807,NA
B11324J,vetinary medicine and sur,B0,alternative medicines and therapies,0.27863354,D1
B11326L,hotel and catering manage,B7,health and social care,0.265050505,N8
B11337P,medical sciences,B1,medical sciences,0,B1
B11351M,social work,L5,social work,0,NA
B11370Q,mathematics,G1,mathematics,0,NA
B11379Z,fashion design,W2,fashion design,0,W2
B11386Y,batch of educ,Q4,South Asian studies,0.352076773,X1
B11389B,pharmacy,B2,pharmacy,0,NA
B11395Z,civil engineering,H2,civil engineering,0,NA
B11397B,law,M0,law,0,NA
B11399D,combined arts psycology,C8,forensic psychology,0.190671692,NA
B11406K,accountancy,N4,accountancy,0,NA
B11427Q,teacher education,X3,further education,0.165266106,NA
B11428R,cultural studies,P3,cultural studies,0,NA
B11457W,civil engineering,H2,civil engineering,0,NA
B11467Y,occupational therapy,B9,occupational therapy,0,NA
B11493A,land economiss,C2,plant sciences,0.257142857,D4
B11497E,telecommunications,H6,telecommunications engineering,0.133333333,NA
B11502J,industrial design,F1,industrial chemistry,0.182633053,NA
B11503K,ba in medicine,V3,history of medicine,0.242082479,NA
B11510J,state management,W4,sales management,0.083333333,NA
B11513M,gepgraphy,L7,geography,0.074074074,NA
B11517R,law,M0,law,0,NA
B11521M,fashion and knitwear desi,W2,fashion,0.24,NA
B11526S,biology,C1,biology,0,NA
B11541R,humanitiesenglish litera,Q3,humanities,0.194444444,NA
B11560U,law,M0,law,0,NA
B11567B,french and german with bu,R2,French language,0.267777778,NA
B11569D,education and english,Q3,education studies,0.205648926,NA
B11570W,mechanical engineering,H3,mechanical engineering,0,NA
B11575B,b education,X0,education policy,0.206439394,NA
B11578E,aeronautical engineering,H4,aeronautical engineering,0,NA
B11580Y,town and country planning,L5,youth and community work,0.304027778,NA
B11592C,history,V1,history,0,NA
B11620P,interior design,W2,interior design and architecture,0.177083333,NA
B11629Y,contemporary media practi,W5,contemporary dance,0.164400871,NA
B11634V,psychology and sociology,C8,psychology of religion,0.19023569,C8
B11644X,biooranic chemistry and,F1,inorganic chemistry,0.161259927,NA
B11646Z,law,M0,law,0,NA
B11647A,chemistry,F1,chemistry,0,NA
B11686H,english studies,Q3,English studies,0,NA
B11692F,cevil eng,H8,chemical engineering,0.237037037,NA
B11704S,bsc antomycell biology,C1,community ecology,0.245276292,NA
B11708W,history and politics,V1,history of art,0.208730159,NA
B11716W,psychology,C8,psychology,0,NA
B11729B,environmental earth scien,F6,environmental geoscience,0.122222222,NA
B11740W,politics and philosophy,V5,scholastic philosophy,0.212675408,NA
B11752A,electrical  information,H6,electrical power generation,0.188231347,NA
B11761B,art,N5,marketing,0.222222222,NA
B11765F,law,M0,law,0,NA
B11776J,design illustration,W2,design,0.228070175,NA
B11784J,physical education,F0,physical sciences,0.209485504,C6
B11785K,dentistry,A0,dentistry,0,A4
B11792J,architecture,K1,architecture,0,NA
B11793K,electronic imaging and,H6,electronic engineering,0.180926916,NA
B11810T,agraicultural science,D7,agricultural sciences,0.098412698,NA
B11828D,geography,L7,geography,0,NA
B11831Y,quantity surveying,K2,quantity surveying,0,NA
B11838F,politics and law,L1,politics,0.166666667,L1
B11849J,engineering,H0,engineering design,0.12962963,NA
B11862F,mathematics,G1,mathematics,0,NA
B11866K,art,N5,marketing,0.222222222,NA
B11882K,mechanical engineering,H3,mechanical engineering,0,NA
B11890K,theatre studies,W4,theatre studies,0,NA
B11916C,sociology,L3,sociology,0,NA
B11928G,computing,I1,conducting,0.174074074,NA
B11929H,electronics computing and,I1,electronic music,0.1825,NA
B11930A,business studies,N1,business studies,0,NA
B11940C,biological sciences,C0,biological sciences,0,NA
B11950E,history,V1,history,0,NA
B11955K,economics and accountancy,L1,economics,0.213333333,NA
B11977R,theology,V6,theology,0,NA
B11979T,economics,L1,economics,0,NA
B11990N,computor   science,I1,computer science,0.176388889,NA
B12000V,sales and marketing,N5,sales management,0.200814536,NA
B12002X,international history and,V1,international history,0.053333333,NA
B12014B,economics,L1,economics,0,NA
B12018F,french and german,R2,French language,0.19248366,NA
B12022B,music and education,X3,secondary education,0.184795322,NA
B12036H,land management,N2,land management,0,NA
B12047L,electrical and electronic,H6,electrical and electronic engineering,0.108108108,H6
B12073N,economics,L1,economics,0,NA
B12074P,english,Q3,English law,0.121212121,NA
B12076R,beducation,X0,education policy,0.179166667,NA
B12087U,agricultrual economics,L1,agricultural economics,0.015151515,NA
B12091Q,cultural studies,P3,cultural studies,0,NA
B12097W,geography,L7,geography,0,NA
B12100Y,mechanical engineering,H3,mechanical engineering,0,NA
B12106E,biologicalm sciences,C0,biological sciences,0.016666667,NA
B12113D,genetics,C4,genetics,0,NA
B12133H,bachelor af arts b a hon,G1,liberal arts,0.316666667,Y1
B12142J,mechanical engineering,H3,mechanical engineering,0,NA
B12153M,psychology,C8,psychology,0,NA
B12159T,occupational therapy,B9,occupational therapy,0,NA
B12174S,mechanical engineering,H3,mechanical engineering,0,NA
B12186W,geography,L7,geography,0,NA
B12187X,french,R1,French studies,0.19047619,R1
B12215J,american and commonwealth,D3,animal management,0.27254902,NA
B12227N,mechanic engineering,H3,mechanical engineering,0.03030303,NA
B12228P,graphic design,W2,graphic design,0,NA
B12259W,civil engineering,H2,civil engineering,0,NA
B12264T,micro electronics,L1,microeconomics,0.145658263,NA
B12274V,accounting and finance,N4,accounting,0.181818182,NA
B12298D,public art and design,L2,public administration,0.231646825,NA
B12303H,clothing manufacture etc,J4,clothing production,0.250417711,J4
B12306L,linguistics and language,Q1,linguistics,0.180555556,Q1
B12321K,archaeology and anthropol,V4,archaeology,0.186666667,NA
B12329T,civil engineering,H2,civil engineering,0,NA
B12341P,geo chemistry,F6,geochemistry,0.025641026,NA
B12342Q,medicine,A0,medicine,0,A1
B12343R,real time computer system,I1,modern Middle Eastern studies,0.261781609,NA
B12345T,business studies,N1,business studies,0,NA
B12348W,theatre studies with qts,W4,theatre studies,0.125,W4
B12351R,managerial and admin stud,N2,management and organisation of education,0.248043478,NA
B12357X,modern languages,R0,modern languages,0,R0
B12374Y,english and history,V1,English history,0.070175439,NA
B12394C,sociology,L3,sociology,0,NA
B12397F,mechanical engineering,H3,mechanical engineering,0,NA
B12399H,export engineering,I3,software engineering,0.134953704,NA
B12419U,mathematics,G1,mathematics,0,NA
B12433S,law,M0,law,0,NA
B12439Y,media production,P3,media production,0,NA
B12467C,european business systems,N1,European business studies,0.102727273,NA
B12484D,sociology,L3,sociology,0,NA
B12496H,behavioural science,C8,animal science,0.170426065,C8
B12498K,computer science,I1,computer science,0,NA
B12505R,biomedical technology,J7,medical biotechnology,0.087301587,J7
B12531T,biochemistry,F6,biochemistry,0,NA
B12537Z,education,X0,education policy,0.145833333,NA
B12542W,philosophy politics and e,V5,philosophy of science,0.196507937,NA
B12548C,pharmacology,B2,pharmacology,0,NA
B12549D,chemistry,F1,chemistry,0,NA
B12554A,architecture,K1,architecture,0,NA
B12563B,law,M0,law,0,NA
B12583F,philosophy politics and e,V5,philosophy of science,0.196507937,NA
B12619A,spanish and latinamerican,R4,Spanish language,0.260961538,NA
B12635A,medical biochemistry,C7,medical biochemistry,0,NA
B12636B,drama and education,W4,drama,0.245614035,NA
B12638D,sociology,L3,sociology,0,NA
B12654D,economics,L1,economics,0,NA
B12661C,construction,K2,construction,0,NA
B12675J,economics  spannish,L1,economics,0.175438596,NA
B12694M,film and theatre,W3,musical theatre,0.219444444,NA
B12702U,historyeducation,V1,history,0.1875,NA
B12703V,combined   studies,Y0,combined studies,0.037037037,NA
B12728E,english and related arts,Q3,English literature,0.210648148,NA
B12738G,history,V1,history,0,NA
B12746G,french and spanish,R1,French studies,0.231361231,NA
B12768N,primary education,X3,primary education,0,NA
B12769P,bio chemstry,C7,biochemistry,0.055555556,C7
B12771H,business studies,N1,business studies,0,NA
B12787R,business studies,N1,business studies,0,NA
B12789T,mathematics,G1,mathematics,0,NA
B12825E,opthalmic optics,L2,comparative politics,0.226388889,NA
B12830B,personnel management,K2,construction management,0.209782609,NA
B12846K,psycology,C8,psychology,0.033333333,C8
B12849N,sociology,L3,sociology,0,NA
B12858P,electronics,W3,electronic music,0.104166667,NA
B12862K,joint welsh and social po,F3,photonics and optical physics,0.295114943,NA
B12870K,midwifery,B7,midwifery,0,NA
B12906E,accounting  finance,N4,accounting,0.157894737,NA
B12908G,textile,W2,textile design,0.166666667,NA
B12911B,economics,L1,economics,0,NA
B12931F,building surveying,K2,building surveying,0,NA
B12955P,dance and performong arts,W5,dance and culture,0.264072398,NA
B12961M,modern chinese and japane,T6,modern Middle Eastern languages,0.251612903,NA
B12967T,batchelor of medicine,B3,herbal medicine,0.217460317,NA
B12970N,fine art,W1,fine art,0,NA
B12977V,aeronautical engineering,H4,aeronautical engineering,0,NA
B12990S,business administration a,N1,business and management,0.221352657,NA
B12994W,pharmacology,B2,pharmacology,0,NA
B12996Y,business economics and ac,N1,business economics,0.093333333,NA
B13012D,german with history,V1,German history,0.135338346,NA
B13015G,mediacommunication studi,P3,media and communication studies,0.193324373,P3
B13017J,enviromental science,F7,environmental sciences,0.13030303,NA
B13031G,medicine,A0,medicine,0,A1
B13033J,pharmacology,B2,pharmacology,0,NA
B13045N,accounting,N4,accounting,0,NA
B13046P,geography and computer sc,I1,geography,0.213333333,NA
B13047Q,graphic design,W2,graphic design,0,NA
B13049S,accounting,N4,accounting,0,NA
B13054P,banking finqance and ret,N3,banking,0.236111111,NA
B13056R,economics,L1,economics,0,NA
B13057S,modern european studies,T0,modern Middle Eastern studies,0.23025987,R8
B13058T,historygeography,V1,history,0.1875,NA
B13082T,occupational therapy,B9,occupational therapy,0,NA
B13088Z,geographyart and design,L7,geography,0.202898551,NA
B13101D,geography,L7,geography,0,NA
B13117M,american studies literat,T7,American studies,0.111111111,NA
B13126N,mathematics,G1,mathematics,0,NA
B13129R,history and classics,V1,history,0.216666667,NA
B13133M,chemistry and physics,F1,chemistry,0.19047619,F1
B13146S,devinity,V6,divinity,0.178571429,NA
B13150N,quality management,H7,quality management,0,NA
B13151P,hotel and catering manage,B7,health and social care,0.265050505,N8
B13153R,historicalpolitical stud,Q1,historical linguistics,0.218013468,NA
B13181V,computing,I1,conducting,0.174074074,NA
B13182W,mathematics and french,R1,mathematics,0.166666667,NA
B13184Y,fashion and textiles,W2,fashion design,0.191758242,W2
B13187B,management studies with r,N2,management studies,0.093333333,NA
B13191X,american  studies,T7,American studies,0.019607843,NA
B13194A,pathology,B1,pathology,0,NA
B13205L,mathematics,G1,mathematics,0,NA
B13264X,music and religious educa,W3,music education and teaching,0.23984127,NA
B13270V,agriculture and land mana,D4,agriculture,0.186666667,D4
B13279E,economics,L1,economics,0,NA
B13323R,economics,L1,economics,0,NA
B13339Z,frenchdrama,R1,French language,0.246464646,NA
B13358C,accounting and management,N4,accounting,0.2,NA
B13361X,software engineering,I3,software engineering,0,NA
B13381B,mechanical engineering,H3,mechanical engineering,0,NA
B13386G,integrated studies,Y0,negotiated studies,0.086056645,NA
B13406T,psychology,C8,psychology,0,NA
B13407U,batch of education,X3,further education,0.260767555,NA
B13409W,theology,V6,theology,0,NA
B13412R,computer science,I1,computer science,0,NA
B13413S,mechanical engineering,H3,mechanical engineering,0,NA
B13488M,english literature,Q3,English literature,0,NA
B13489N,englishfrench,R1,English history,0.272934473,NA
B13495L,business education,N1,business computing,0.166666667,NA
B13504U,ecomics and politics,L1,economic policy,0.250854701,NA
B13518A,property valuation and fi,N2,property valuation and auctioneering,0.124444444,NA
B13523X,architecture,K1,architecture,0,NA
B13540Y,english,Q3,English law,0.121212121,NA
B13559K,education geography,L7,political geography,0.184795322,NA
B13561D,business studies and psyc,N1,business studies,0.12,NA
B13565H,biology,C1,biology,0,NA
B13574J,nursing,B7,nursing,0,NA
B13582J,construction management,K2,construction management,0,NA
B13591K,financila services,N3,financial risk,0.180504681,NA
B13608B,engineering with technolo,F6,engineering geology,0.172631579,NA
B13613Y,social studies,L0,Polish studies,0.136904762,NA
B13619E,germanspanish,R2,German studies,0.221611722,NA
B13662H,physics,F3,physics,0,NA
B13666M,english,Q3,English law,0.121212121,NA
B13669Q,pharmacy,B2,pharmacy,0,NA
B13671J,chemical process engineer,D6,cereal science,0.23,NA
B13676P,illustration,W2,illustration,0,NA
B13700W,woven textiles,B4,dietetics,0.301587302,NA
B13716E,french and linguistics,R1,French studies,0.211455211,NA
B13719H,art,N5,marketing,0.222222222,NA
B13727H,psychology,C8,psychology,0,NA
B13733F,english with media studie,Q3,English literature,0.188888889,NA
B13735H,history and politics,V1,history of art,0.208730159,NA
B13736J,design and technoloigy ed,J9,emergency and disaster technologies,0.243095238,NA
B13743H,combined english and art,Q3,combined studies,0.266559829,NA
B13756N,architectural visualisati,K1,architectural design,0.2075,NA
B13759R,fine arts,W1,fine art,0.037037037,NA
B13767R,computing science,I1,mapping science,0.122875817,NA
B13770L,science and the enviromen,W2,interactive and electronic design,0.295050505,NA
B13772N,chemistry with business s,N1,chemistry,0.213333333,NA
B13788W,busiunees studies,N1,business studies,0.16004902,NA
B13797X,computer science,I1,computer science,0,NA
B13800Z,bachelor of accountancy,N4,public accountancy,0.282608696,NA
B13853N,computor science,I1,computer science,0.141666667,NA
B13855Q,politics,L2,politics,0,NA
B13860M,mathematics and managment,G1,mathematics,0.186666667,G1
B13864R,psychology,C8,psychology,0,NA
B13874T,electonic engineering,H6,electronic engineering,0.015151515,NA
B13877W,economics,L1,economics,0,NA
B13921H,geography ba,L7,geography,0.083333333,NA
B13927P,hotel  catering manageme,D4,heritage management,0.209795322,N8
B13931K,nursing,B7,nursing,0,NA
B13934N,law,M0,law,0,NA
B13935P,business information syst,N1,business information systems,0.035714286,NA
B13937R,marketing,N5,marketing,0,NA
B13943P,bachelor of education,D4,crop production,0.237301587,NA
B13957V,politics and history,V1,politics,0.2,NA
B13970S,civil engineering,H2,civil engineering,0,NA
B13982W,chemistry and business ad,N1,chemistry,0.213333333,NA
B13986A,computer science,I1,computer science,0,NA
B13988C,re,D6,brewing,0.238095238,V6
B14005J,law with history,V1,ancient history,0.238510101,NA
B14017N,dance studies,W3,gender studies,0.153013653,W5
B14018P,mechanical engineering,H3,mechanical engineering,0,NA
B14021J,electronic electriacl en,H6,electronic engineering,0.212195484,NA
B14045S,computer sciences,I1,computer science,0.019607843,NA
B14057W,business admin,N1,business law,0.150793651,NA
B14063U,leisure management,N8,tourism management,0.177777778,NA
B14072V,ba ed hist geog,A3,obstetrics and gynaecology,0.288034188,V1
B14083Y,education with english an,Q3,education studies,0.241204482,NA
B14084Z,graphic design,W2,graphic design,0,NA
B14098F,computer science,I1,computer science,0,NA
B14101H,engineering,H0,engineering design,0.12962963,NA
B14102J,accounting,N4,accounting,0,NA
B14108Q,computing,I1,conducting,0.174074074,NA
B14110J,music,W3,music,0,NA
B14112L,history,V1,history,0,NA
B14132Q,politics,L2,politics,0,NA
B14139X,psychology,C8,psychology,0,NA
B14146W,business studies,N1,business studies,0,NA
B14149Z,food science economics ad,D6,food science,0.173333333,NA
B14155X,law,M0,law,0,NA
B14175B,the built environment,F1,environmental chemistry,0.305814355,NA
B14178E,music,W3,music,0,NA
B14180Y,politics,L2,politics,0,NA
B14184C,medical media,P3,digital media,0.153846154,NA
B14206R,european business and fre,N1,European business studies,0.133333333,NA
B14224T,zoo ology,C3,zoology,0.121693122,NA
B14237Y,land economics,L1,economics,0.193121693,NA
B14253Y,sociology  social physco,C8,social psychology,0.195261438,NA
B14270Z,engineering  surveying,H2,engineering surveying,0.015151515,NA
B14278H,sociology and sports scie,L3,sociology,0.213333333,L3
B14283E,english,Q3,English law,0.121212121,NA
B14310Q,humanities,V1,humanities,0,NA
B14326Y,english literaturelang,Q3,English literature,0.060606061,NA
B14330U,gaelicfrench,R1,general science,0.266666667,NA
B14336A,business studies,N1,business studies,0,NA
B14353B,information technoloigy,I1,information technology,0.014492754,I1
B14380E,computing science,I1,mapping science,0.122875817,NA
B14384J,history,V1,history,0,NA
B14400R,medicine,A0,medicine,0,A1
B14415Y,statistics,G3,statistics,0,NA
B14421W,geography,L7,geography,0,NA
B14431Y,construction mgt,K2,construction,0.083333333,NA
B14460D,applied social studies,L3,applied social science,0.121212121,L3
B14464H,english  physical educat,Q3,English studies,0.248504274,NA
B14466K,bachelor of education,D4,crop production,0.237301587,NA
B14476M,govermmentpolitics,H1,bioelectronics,0.261664262,L2
B14490K,enviromental science,F7,environmental sciences,0.13030303,NA
B14492M,english literature and dr,Q3,English literature,0.093333333,NA
B14497S,electronic imaging and me,H6,electronic engineering,0.190976431,NA
B14503X,computer science,I1,computer science,0,NA
B14510W,building surveying,K2,building surveying,0,NA
B14511X,geography,L7,geography,0,NA
B14541D,humanities,V1,humanities,0,NA
B14553H,geology,F6,geology,0,F6
B14554J,podiatry,B1,podiatry,0,NA
B14558N,history  archaeology,V1,history,0.216666667,V1
B14559P,time based media,I6,computer games design,0.295634921,NA
B14571K,bachelor of nursing,B7,school nursing,0.193175246,NA
B14584Q,nursing,B7,nursing,0,NA
B14592Q,design and applied techno,W2,design,0.253333333,NA
B14595T,batchelor of engineering,H8,nuclear engineering,0.161721706,NA
B14596U,economics and law,L1,economics,0.156862745,NA
B14613C,art,N5,marketing,0.222222222,NA
B14625G,business studies,N1,business studies,0,NA
B14630D,law,M0,law,0,NA
B14648P,economics and business fi,N1,economics,0.213333333,NA
B14651J,business studies,N1,business studies,0,NA
B14664P,health studies,B9,health studies,0,B9
B14672P,fine art,W1,fine art,0,NA
B14689Y,business computing system,N1,business computing,0.093333333,NA
B14690R,combined studies,Y0,combined studies,0,NA
B14694V,computer science,I1,computer science,0,NA
B14698Z,biology,C1,biology,0,NA
B14699A,mechanical engineering,H3,mechanical engineering,0,NA
B14710C,financial economics,L1,financial economics,0,NA
B14723H,economics and industrial,L1,economics,0.208333333,NA
B14758U,architecture,K1,architecture,0,NA
B14762Q,psychologybusiness admin,N1,psychology,0.194444444,NA
B14779Z,history,V1,history,0,NA
B14797B,business administration,N1,business information systems,0.222049689,NA
B14812H,dietetetics,B4,dietetics,0.060606061,NA
B14821J,combined arts,Y0,combined studies,0.185751748,W0
B14830K,geography  education,L7,geography,0.183333333,NA
B14839U,q8uantity surveying,K2,quantity surveying,0.01754386,NA
B14847U,chemistry,F1,chemistry,0,NA
B14890X,media and management,D3,animal management,0.138357843,NA
B14903K,history,V1,history,0,NA
B14906N,nutrition and dietetics,B4,nutrition,0.202898551,NA
B14907P,geography,L7,geography,0,NA
B14910J,biochemistry,F6,biochemistry,0,NA
B14923P,biomedical science,F1,biomedical sciences,0.01754386,NA
B14936U,american studies,T7,American studies,0,T7
B14938W,graphic design,W2,graphic design,0,NA
B14939X,electronics,W3,electronic music,0.104166667,NA
B14940Q,eleccalelecic enging,H3,electromechanical engineering,0.22458493,NA
B14944U,economics  social scienc,L1,economics,0.208333333,NA
B14948Y,applied chemistry,F1,applied chemistry,0,NA
B14955X,classical civilisation,Q8,classical reception,0.198458267,NA
B14961V,civil engineering,H2,civil engineering,0,NA
B14962W,accounting and finance,N4,accounting,0.181818182,NA
B14976C,combined studies,Y0,combined studies,0,NA
B14979F,pharmacy,B2,pharmacy,0,NA
B14981Z,mathematics,G1,mathematics,0,NA
B14993D,english and history,V1,English history,0.070175439,NA
B14996G,physics,F3,physics,0,NA
B15006P,physics,F3,physics,0,NA
B15007Q,information  library stu,I2,information systems,0.217397661,P1
B15009S,economics and sociology,L1,economic policy,0.176466529,NA
B15024R,construction management,K2,construction management,0,NA
B15028V,toxicology,B2,toxicology,0,NA
B15029W,textiles and fashion embr,W2,textile design,0.290396825,NA
B15044V,business admin and french,N1,business and management,0.202834138,NA
B15053W,english lit and language,Q3,English language,0.142361111,NA
B15056Z,bi0chemistry,C7,biochemistry,0.055555556,C7
B15080Z,languages,T6,Arabic languages,0.238425926,NA
B15094F,environmental science,F7,environmental sciences,0.015151515,NA
B15111P,urban estate management,D4,rural estate management,0.07384403,NA
B15113R,french with sport,R1,French history,0.153522948,NA
B15124U,drama,W4,drama,0,NA
B15128Y,mechanical engineering,H3,mechanical engineering,0,NA
B15148C,business studies,N1,business studies,0,NA
B15155B,radiography,B8,hydrography,0.158249158,NA
B15169H,medicine mb bch,A0,medicine,0.155555556,A1
B15171B,graphic design,W2,graphic design,0,NA
B15190E,ophthalmic optics,B5,ophthalmic dispensing,0.205648926,NA
B15194J,business administrration,N1,business information systems,0.234126984,NA
B15199P,quantity surveying,K2,quantity surveying,0,NA
B15208X,law,M0,law,0,NA
B15221U,history and education,V1,secondary education,0.157403312,NA
