Category,JACS3_code,JACS3_Label,Relation,HECoS_code,HECoS_Label
1,B341,Chinese,Close match,100236,Chinese medical techniques
1,B342,Herbalism,Close match,100237,herbal medicine
1,B343,Acupuncture,Close match,100233,acupuncture
1,B344,Aromatherapy,Close match,100235,aromatherapy
1,B345,Hypnotherapy,Close match,101340,hypnotherapy
1,B346,Reflexology,Close match,100239,reflexology
2,B350,Hair & beauty science,Close match,101373,hair and beauty sciences
2,B350,Hair & beauty science,Related match,100706,hair and make-up
2,B351,Hair services,Related match,100706,hair and make-up
2,B351,Hair services,Close match,101374,hair services
1,B352,Beauty therapies,Close match,100739,beauty therapy
3,B353,Make-up,Related match,100706,hair and make-up
2,B360,Spa & water-based therapies,Related match,100242,complementary medicines and therapies
2,B360,Spa & water-based therapies,Close match,101375,spa and water-based therapies
3,B390,"Complementary medicines, therapies & well-being not elsewhere classified",Related match,100242,complementary medicines and therapies
1,B400,Nutrition,Close match,100247,nutrition
1,B410,Dietetics,Close match,100744,dietetics
3,B490,Nutrition not elsewhere classified,Related match,100247,nutrition
2,B500,Ophthalmics,Close match,101511,ophthalmic dispensing
2,B500,Ophthalmics,Related match,100261,ophthalmology
1,B510,Optometry,Close match,100036,optometry
1,B520,Orthoptics,Close match,100037,orthoptics
4,B590,Ophthalmics not elsewhere classified,Related match,101511,ophthalmic dispensing
4,B590,Ophthalmics not elsewhere classified,Related match,100261,ophthalmology
4,B600,Aural & oral sciences,Related match,100257,audiology
4,B600,Aural & oral sciences,Related match,100255,speech and language therapy
1,B610,Audiology,Close match,100257,audiology
1,B620,Speech science,Close match,100255,speech and language therapy
3,B630,Language pathology,Related match,100255,speech and language therapy
4,B690,Aural & oral sciences not elsewhere classified,Related match,100257,audiology
4,B690,Aural & oral sciences not elsewhere classified,Related match,100255,speech and language therapy
2,B700,Nursing,Related match,101329,dementia studies
2,B700,Nursing,Related match,101338,diabetes
2,B700,Nursing,Related match,101333,epilepsy care
2,B700,Nursing,Related match,101331,gastroenterology
2,B700,Nursing,Related match,100476,health and social care
2,B700,Nursing,Related match,100473,health studies
2,B700,Nursing,Related match,101322,mentorship
2,B700,Nursing,Related match,101290,neurological rehabilitation
2,B700,Nursing,Close match,100290,nursing
2,B700,Nursing,Related match,101324,orthopaedics
2,B700,Nursing,Related match,101325,paediatrics
1,B701,Palliative care nursing,Close match,100292,palliative care nursing
1,B702,Clinical practice nursing,Close match,100746,clinical practice nursing
2,B710,Community nursing,Close match,100281,community nursing
2,B710,Community nursing,Related match,100473,health studies
1,B712,Health visiting,Close match,100295,health visiting
1,B713,School nursing,Close match,100293,school nursing
1,B714,Practice nursing,Close match,100285,general practice nursing
1,B720,Midwifery,Close match,100288,midwifery
2,B730,Children's nursing,Close match,100280,children's nursing
2,B730,Children's nursing,Related match,101325,paediatrics
1,B731,Neonatal care,Close match,100289,neonatal nursing
1,B740,Adult nursing,Close match,100279,adult nursing
2,B741,Older people nursing,Related match,101329,dementia studies
2,B741,Older people nursing,Close match,100291,older people nursing
1,B750,Dental nursing,Close match,100283,dental nursing
2,B760,Mental health nursing,Related match,101329,dementia studies
2,B760,Mental health nursing,Related match,100473,health studies
2,B760,Mental health nursing,Close match,100287,mental health nursing
1,B761,Learning disability nursing,Close match,100286,learning disabilities nursing
1,B770,Medical nursing,Close match,100747,medical nursing
1,B771,Critical care nursing,Close match,100282,critical care nursing
2,B772,Surgical nursing,Related match,100273,operating department practice
2,B772,Surgical nursing,Close match,100294,theatre nursing
1,B773,Emergency nursing,Close match,100284,emergency nursing
4,B790,Nursing not elsewhere classified,Related match,100476,health and social care
4,B790,Nursing not elsewhere classified,Related match,100473,health studies
4,B790,Nursing not elsewhere classified,Related match,101322,mentorship
4,B790,Nursing not elsewhere classified,Related match,100290,nursing
4,B790,Nursing not elsewhere classified,Related match,100273,operating department practice
4,B800,Medical technology,Related match,101243,bioengineering
4,B800,Medical technology,Related match,101210,biomaterials
4,B800,Medical technology,Related match,100127,biomedical engineering
4,B800,Medical technology,Related match,101330,ultrasound
1,B810,Cardiography,Close match,100748,cardiology
1,B820,Radiology,Close match,100131,radiology
2,B821,"Radiography, diagnostic",Close match,100129,diagnostic imaging
2,B821,"Radiography, diagnostic",Related match,101330,ultrasound
2,B822,"Radiography, therapeutic",Related match,101327,oncology
2,B822,"Radiography, therapeutic",Close match,100132,therapeutic imaging
2,B830,Biomechanics & prosthetics (non-clinical),Related match,101243,bioengineering
2,B830,Biomechanics & prosthetics (non-clinical),Related match,101210,biomaterials
2,B830,Biomechanics & prosthetics (non-clinical),Close match,100126,biomechanics
2,B830,Biomechanics & prosthetics (non-clinical),Related match,101289,rehabilitation studies
1,B840,Dental technology,Close match,100128,dental technology
3,B850,Mortuary technology,Related match,100127,biomedical engineering
4,B890,Medical technology not elsewhere classified,Related match,100127,biomedical engineering
4,B890,Medical technology not elsewhere classified,Related match,100005,clinical engineering
4,B890,Medical technology not elsewhere classified,Related match,101330,ultrasound
4,B900,Others in subjects allied to medicine,Related match,101320,art psychotherapy
4,B900,Others in subjects allied to medicine,Related match,101291,cardiovascular rehabilitation
4,B900,Others in subjects allied to medicine,Related match,100456,childhood studies
4,B900,Others in subjects allied to medicine,Related match,101329,dementia studies
4,B900,Others in subjects allied to medicine,Related match,101339,dermatology
4,B900,Others in subjects allied to medicine,Related match,101338,diabetes
4,B900,Others in subjects allied to medicine,Related match,100457,early childhood studies
4,B900,Others in subjects allied to medicine,Related match,101335,epidemiology
4,B900,Others in subjects allied to medicine,Related match,101333,epilepsy care
4,B900,Others in subjects allied to medicine,Related match,100476,health and social care
4,B900,Others in subjects allied to medicine,Related match,100473,health studies
4,B900,Others in subjects allied to medicine,Related match,100260,healthcare science
4,B900,Others in subjects allied to medicine,Related match,101241,music therapy
4,B900,Others in subjects allied to medicine,Related match,101327,oncology
4,B900,Others in subjects allied to medicine,Related match,100273,operating department practice
4,B900,Others in subjects allied to medicine,Related match,101324,orthopaedics
4,B900,Others in subjects allied to medicine,Related match,101325,paediatrics
4,B900,Others in subjects allied to medicine,Related match,101330,ultrasound
2,B910,Environmental health,Close match,101317,environmental and public health
2,B910,Environmental health,Related match,101335,epidemiology
1,B920,Occupational health,Close match,100248,occupational health
1,B930,Occupational therapy,Close match,100249,occupational therapy
2,B940,Counselling,Close match,100495,counselling
2,B940,Counselling,Related match,101332,drug and alcohol studies
1,B950,Paramedical science,Close match,100749,paramedic science
1,B960,Physician assistant studies,Close match,100750,physician associate studies
4,B990,Subjects allied to medicine not elsewhere classified,Related match,101336,anaesthesia
4,B990,Subjects allied to medicine not elsewhere classified,Related match,101338,diabetes
4,B990,Subjects allied to medicine not elsewhere classified,Related match,100476,health and social care
4,B990,Subjects allied to medicine not elsewhere classified,Related match,100246,health sciences
4,B990,Subjects allied to medicine not elsewhere classified,Related match,100473,health studies
4,B990,Subjects allied to medicine not elsewhere classified,Related match,101327,oncology
4,B990,Subjects allied to medicine not elsewhere classified,Related match,100273,operating department practice
1,C000,Biological sciences,Close match,100345,biological sciences
2,C100,Biology,Close match,100346,biology
2,C100,Biology,Related match,100386,forensic biology
2,C100,Biology,Related match,100350,human biology
2,C100,Biology,Related match,100354,molecular biology
2,C110,Applied biology,Close match,100343,applied biology
2,C110,Applied biology,Related match,100350,human biology
1,C111,Parasitology,Close match,100826,parasitology
2,C120,Behavioural biology,Related match,100522,animal behaviour
2,C120,Behavioural biology,Close match,100829,behavioural biology
2,C130,Cell biology,Close match,100822,cell biology
2,C130,Cell biology,Related match,100354,molecular biology
3,C131,Applied cell biology,Related match,100822,cell biology
4,C140,Developmental/Reproductive biology,Related match,100834,developmental biology
4,C140,Developmental/Reproductive biology,Related match,101309,obstetrics and gynaecology
4,C140,Developmental/Reproductive biology,Related match,100847,reproductive biology
1,C141,Developmental biology,Close match,100834,developmental biology
2,C142,Reproductive biology,Related match,100834,developmental biology
2,C142,Reproductive biology,Close match,100847,reproductive biology
1,C150,Environmental biology,Close match,100348,environmental biology
1,C160,Marine/Freshwater biology,Close match,100848,aquatic biology
1,C161,Marine biology,Close match,100351,marine biology
1,C162,Freshwater biology,Close match,100849,freshwater biology
1,C170,Population biology,Close match,100850,population biology
1,C180,Ecology,Close match,100347,ecology
3,C181,Biodiversity,Related match,101318,biodiversity conservation
1,C182,Evolution,Close match,100858,evolution
1,C183,Community ecology,Close match,101457,community ecology
3,C184,Conservation ecology,Related match,101318,biodiversity conservation
1,C185,Ecosystem ecology & land use,Close match,100864,ecosystem ecology and land use
1,C186,Population ecology,Close match,101458,population ecology
1,C187,Ecotoxicology,Close match,101459,ecotoxicology
4,C190,Biology not elsewhere classified,Related match,100346,biology
4,C190,Biology not elsewhere classified,Related match,100386,forensic biology
1,C191,Biometry,Close match,100865,biometry
1,C200,Botany,Close match,100355,plant sciences
2,C210,Applied botany,Close match,101376,applied botany
2,C210,Applied botany,Related match,100355,plant sciences
1,C220,Mycology,Close match,100872,mycology
1,C230,Plant biotechnology,Close match,100139,plant biotechnology
1,C240,Plant cell science,Close match,100873,plant cell science
1,C250,Plant pathology,Close match,100874,plant pathology
2,C260,Plant physiology,Close match,101460,plant physiology
2,C260,Plant physiology,Related match,100355,plant sciences
3,C270,Developmental & reproductive plant biology,Related match,100355,plant sciences
3,C280,Systematic botany,Related match,100355,plant sciences
3,C290,Botany not elsewhere classified,Related match,100355,plant sciences
2,C300,Zoology,Related match,100522,animal behaviour
2,C300,Zoology,Close match,100356,zoology
1,C310,Applied zoology,Close match,100880,applied zoology
2,C320,Cell zoology,Close match,100881,cell zoology
2,C320,Cell zoology,Related match,100356,zoology
3,C330,Developmental & reproductive zoology,Related match,100356,zoology
1,C340,Entomology,Close match,100882,entomology
1,C350,Marine zoology,Close match,100883,marine zoology
1,C360,Pest science,Close match,100884,pest management
3,C380,Systematic zoology,Related match,100356,zoology
3,C390,Zoology not elsewhere classified,Related match,100356,zoology
2,C400,Genetics,Close match,100259,genetics
2,C400,Genetics,Related match,100354,molecular biology
3,C410,Applied genetics,Related match,100259,genetics
1,C420,Human genetics,Close match,100898,human genetics
3,C430,Medical & veterinary genetics,Related match,100899,medical genetics
1,C431,Medical genetics,Close match,100899,medical genetics
3,C432,Veterinary genetics,Related match,100259,genetics
1,C440,Molecular genetics,Close match,100900,molecular genetics
1,C441,Transcriptomics,Close match,101377,transcriptomics
1,C450,Genomics,Close match,100901,genomics
3,C451,Functional genomics,Related match,100901,genomics
3,C452,Genome organisation,Related match,100901,genomics
1,C460,Genetic engineering,Close match,101378,genetic engineering
1,C470,Population genetics & evolution,Close match,100902,population genetics
3,C490,Genetics not elsewhere classified,Related match,100259,genetics
1,C500,Microbiology,Close match,100353,microbiology
1,C510,Applied microbiology,Close match,100906,applied microbiology
4,C520,Medical & veterinary microbiology,Related match,100907,medical microbiology
4,C520,Medical & veterinary microbiology,Related match,100908,veterinary microbiology
1,C521,Medical microbiology,Close match,100907,medical microbiology
1,C522,Veterinary microbiology,Close match,100908,veterinary microbiology
1,C530,Bacteriology,Close match,100909,bacteriology
1,C540,Virology,Close match,100910,virology
1,C550,Immunology,Close match,100911,immunology
1,C570,Serology,Close match,100912,blood sciences
3,C590,Microbiology not elsewhere classified,Related match,100353,microbiology
2,C600,Sport & exercise science,Related match,101294,coaching psychology
2,C600,Sport & exercise science,Related match,101319,exercise for health
2,C600,Sport & exercise science,Related match,100350,human biology
2,C600,Sport & exercise science,Close match,100433,sport and exercise sciences
1,C610,Sport coaching,Close match,100095,sports coaching
1,C620,Sport development,Close match,100096,sports development
1,C630,"Sport conditioning, rehabilitation & therapy",Close match,100475,sports therapy
1,C640,Sport studies,Close match,100098,sports studies
1,C650,Sport technology,Close match,101379,sport technology
3,C690,Sport & exercise science not elsewhere classified,Related match,100433,sport and exercise sciences
4,C700,"Molecular biology, biophysics & biochemistry",Related match,100344,biochemistry
4,C700,"Molecular biology, biophysics & biochemistry",Related match,100354,molecular biology
4,C710,"Applied molecular biology, biophysics & biochemistry",Related match,100344,biochemistry
4,C710,"Applied molecular biology, biophysics & biochemistry",Related match,100354,molecular biology
3,C720,Biological chemistry,Related match,100344,biochemistry
1,C730,Metabolic biochemistry,Close match,101380,metabolic biochemistry
4,C740,Medical & veterinary biochemistry,Related match,100352,medical biochemistry
4,C740,Medical & veterinary biochemistry,Related match,101461,veterinary biochemistry
1,C741,Medical biochemistry,Close match,100352,medical biochemistry
1,C742,Veterinary biochemistry,Close match,101461,veterinary biochemistry
1,C750,Plant biochemistry,Close match,100932,plant biochemistry
1,C760,Biomolecular science,Close match,100948,biomolecular science
1,C770,Biophysical science,Close match,100949,biophysical science
3,C790,"Molecular biology, biophysics & biochemistry not elsewhere classified",Related match,100344,biochemistry
2,C800,Psychology,Related match,100456,childhood studies
2,C800,Psychology,Related match,101294,coaching psychology
2,C800,Psychology,Close match,100497,psychology
2,C810,Applied psychology,Close match,100493,applied psychology
2,C810,Applied psychology,Related match,101320,art psychotherapy
1,C811,Occupational psychology,Close match,100950,occupational psychology
1,C812,Educational psychology,Close match,100496,educational psychology
1,C813,Sport psychology,Close match,100499,sport and exercise psychology
3,C814,Organisational psychology,Related match,100954,business psychology
1,C815,Business psychology,Close match,100954,business psychology
1,C816,Forensic psychology,Close match,100387,forensic psychology
1,C820,Developmental psychology,Close match,100952,developmental psychology
1,C821,Child psychology,Close match,100953,child psychology
1,C822,The psychology of ageing,Close match,100958,psychology of ageing
3,C830,Methodological & conceptual issues in psychology,Related match,100959,research methods in psychology
1,C831,Research methods in psychology,Close match,100959,research methods in psychology
1,C832,Quantitative psychology,Close match,101462,quantitative psychology
1,C833,Qualitative psychology,Close match,101463,qualitative psychology
4,C834,History of psychology,Related match,100302,history
4,C834,History of psychology,Related match,100497,psychology
4,C835,Philosophy of psychology,Related match,100337,philosophy
4,C835,Philosophy of psychology,Related match,100497,psychology
3,C840,Psychology in health & medicine,Related match,100985,health psychology
2,C841,Health psychology,Related match,101294,coaching psychology
2,C841,Health psychology,Close match,100985,health psychology
1,C842,Clinical psychology,Close match,100494,clinical psychology
3,C843,Counselling psychology,Related match,100495,counselling
2,C844,Psychotherapy,Related match,101320,art psychotherapy
2,C844,Psychotherapy,Close match,100254,psychotherapy
3,C845,Clinical neuropsychology,Related match,100494,clinical psychology
3,C846,Community psychology,Related match,100498,social psychology
3,C847,Psychoanalytical studies,Related match,100493,applied psychology
3,C848,Psychology of mental health,Related match,100985,health psychology
1,C850,Cognitive & affective psychology,Close match,100993,cognitive psychology
3,C851,Psychological modelling,Related match,100993,cognitive psychology
1,C852,Psychology of communication,Close match,101341,psychology of communication
1,C853,Psychology of memory & learning,Close match,101342,psychology of memory and learning
3,C854,Psychology of perception,Related match,100993,cognitive psychology
3,C855,Psychology of higher cognitive processes,Related match,100993,cognitive psychology
3,C856,Experimental psychology,Related match,100959,research methods in psychology
3,C857,Affective psychology,Related match,100497,psychology
1,C858,Transpersonal psychology,Close match,101343,transpersonal psychology
1,C860,Psychobiology,Close match,101344,psychobiology
1,C861,Cognitive neuroscience,Close match,101381,cognitive neuroscience
1,C862,Affective neuroscience,Close match,101382,affective neuroscience
1,C863,Psychopharmacology,Close match,101464,psychopharmacology
1,C864,Evolutionary psychology,Close match,101345,evolutionary psychology
4,C865,Animal psychology,Related match,100523,animal science
4,C865,Animal psychology,Related match,100993,cognitive psychology
3,C870,Personality & individual differences,Related match,100497,psychology
1,C871,Psychometrics,Close match,101383,psychometrics
4,C872,Psychology of gender,Related match,100621,gender studies
4,C872,Psychology of gender,Related match,100497,psychology
4,C873,Cross-cultural psychology,Related match,101233,cultural studies
4,C873,Cross-cultural psychology,Related match,100497,psychology
2,C880,Social psychology,Related match,101294,coaching psychology
2,C880,Social psychology,Close match,100498,social psychology
3,C881,Social cognition,Related match,100498,social psychology
4,C890,Psychology not elsewhere classified,Related match,100497,psychology
4,C890,Psychology not elsewhere classified,Related match,101003,psychology of religion
4,C900,Others in Biological Sciences,Related match,100345,biological sciences
4,C900,Others in Biological Sciences,Related match,100391,natural sciences
4,C910,Applied biological sciences,Related match,100392,applied science
4,C910,Applied biological sciences,Related match,100345,biological sciences
3,C990,Biological sciences not elsewhere classified,Related match,100345,biological sciences
3,D000,"Veterinary sciences, agriculture & related subjects",Related match,100517,agriculture
2,D100,Pre-clinical veterinary medicine,Close match,101384,pre-clinical veterinary medicine
2,D100,Pre-clinical veterinary medicine,Related match,100531,veterinary medicine
3,D190,Pre-clinical veterinary medicine not elsewhere classified,Related match,100531,veterinary medicine
4,D200,Clinical veterinary medicine & dentistry,Related match,101220,veterinary epidemiology
4,D200,Clinical veterinary medicine & dentistry,Related match,100531,veterinary medicine
1,D210,Clinical veterinary medicine,Close match,100531,veterinary medicine
1,D220,Clinical veterinary dentistry,Close match,101347,veterinary dentistry
3,D290,Clinical veterinary medicine & dentistry not elsewhere classified,Related match,100531,veterinary medicine
2,D300,Animal science,Related match,100522,animal behaviour
2,D300,Animal science,Related match,100518,animal management
2,D300,Animal science,Close match,100523,animal science
2,D300,Animal science,Related match,101220,veterinary epidemiology
1,D310,Veterinary nursing,Close match,100532,veterinary nursing
2,D320,Animal health,Close match,100936,animal health
2,D320,Animal health,Related match,100518,animal management
4,D321,Animal anatomy,Related match,100264,anatomy
4,D321,Animal anatomy,Related match,100523,animal science
1,D322,Animal physiology,Close match,100937,animal physiology
1,D323,Animal pathology,Close match,100938,veterinary pathology
1,D324,Animal pharmacology,Close match,100939,veterinary pharmacology
4,D325,Animal toxicology,Related match,100936,animal health
4,D325,Animal toxicology,Related match,100277,toxicology
1,D326,Animal pharmacy,Close match,100941,veterinary pharmacy
1,D327,Animal nutrition,Close match,100940,animal nutrition
4,D328,Animal welfare,Related match,100522,animal behaviour
4,D328,Animal welfare,Related match,100936,animal health
4,D328,Animal welfare,Related match,100518,animal management
1,D330,Veterinary public health,Close match,100942,veterinary public health
3,D340,Overseas veterinary development,Related match,100531,veterinary medicine
3,D390,Animal sciences not elsewhere classified,Related match,100523,animal science
2,D400,Agriculture,Close match,100517,agriculture
2,D400,Agriculture,Related match,100468,countryside management
3,D410,Arable & fruit farming,Related match,100947,crop production
3,D411,Agricultural pests & diseases,Related match,100945,crop protection
3,D412,Crop physiology,Related match,100947,crop production
1,D413,Crop nutrition,Close match,100946,crop nutrition
1,D414,Crop protection,Close match,100945,crop protection
1,D415,Crop production,Close match,100947,crop production
3,D416,Glasshouse culture,Related match,100529,horticulture
3,D417,Amenity horticulture,Related match,100529,horticulture
1,D418,Exotic plants & crops,Close match,101348,exotic plants and crops
1,D420,Livestock,Close match,100974,livestock
3,D421,Livestock husbandry,Related match,100974,livestock
1,D422,Equine studies,Close match,100519,equine studies
3,D423,Poultry keeping,Related match,100974,livestock
4,D424,Game keeping,Related match,100974,livestock
4,D424,Game keeping,Related match,100977,rural estate management
3,D425,Exotic livestock,Related match,100974,livestock
3,D430,Fish farming,Related match,100976,aquaculture
3,D431,Fish husbandry,Related match,100976,aquaculture
4,D432,Freshwater fish,Related match,100976,aquaculture
4,D432,Freshwater fish,Related match,100356,zoology
4,D433,Saltwater fish,Related match,100976,aquaculture
4,D433,Saltwater fish,Related match,100356,zoology
4,D434,Ornamental fish,Related match,100976,aquaculture
4,D434,Ornamental fish,Related match,100356,zoology
1,D435,Aquaculture,Close match,100976,aquaculture
1,D440,Rural estate management,Close match,100977,rural estate management
1,D441,Farm management,Close match,100978,farm management
1,D442,Game keeping management,Close match,100979,game keeping management
1,D443,Water resource management,Close match,100986,water resource management
1,D444,Land management for recreation,Close match,100990,land management for recreation
3,D445,Biological heritage site management,Related match,100807,heritage management
3,D446,Wilderness management,Related match,101318,biodiversity conservation
4,D447,Environmental conservation,Related match,100468,countryside management
4,D447,Environmental conservation,Related match,100469,environmental management
1,D448,Sustainable agricultural & landscape development,Close match,100998,sustainable agriculture and landscape development
1,D450,International agriculture,Close match,101001,international agriculture
1,D460,Organic farming,Close match,101004,organic farming
3,D461,Organic arable & fruit farming,Related match,101004,organic farming
4,D462,Organic livestock,Related match,100974,livestock
4,D462,Organic livestock,Related match,101004,organic farming
4,D463,Organic fish farming,Related match,100976,aquaculture
4,D463,Organic fish farming,Related match,101004,organic farming
1,D470,Agricultural technology,Close match,101006,agricultural technology
2,D471,Agricultural machinery,Close match,101010,agricultural machinery
2,D471,Agricultural machinery,Related match,101006,agricultural technology
2,D472,Agricultural irrigation & drainage,Close match,101385,agricultural irrigation and drainage
2,D472,Agricultural irrigation & drainage,Related match,101006,agricultural technology
3,D490,Agriculture not elsewhere classified,Related match,100517,agriculture
1,D500,Forestry & arboriculture,Close match,100520,forestry and arboriculture
3,D510,Trees & shrubs,Related match,100520,forestry and arboriculture
4,D511,Forestry pests & diseases,Related match,100945,crop protection
4,D511,Forestry pests & diseases,Related match,100520,forestry and arboriculture
3,D512,Tree physiology,Related match,100520,forestry and arboriculture
3,D513,Tree nutrition,Related match,100520,forestry and arboriculture
3,D514,Tree protection,Related match,100520,forestry and arboriculture
3,D515,Tree production,Related match,100520,forestry and arboriculture
1,D516,Timber production,Close match,101013,timber engineering
1,D517,Community forestry,Close match,101014,community forestry
3,D520,International forestry,Related match,100520,forestry and arboriculture
4,D530,Organic forestry,Related match,100520,forestry and arboriculture
4,D530,Organic forestry,Related match,101004,organic farming
3,D540,Forestry technology,Related match,101006,agricultural technology
4,D541,Forestry irrigation & drainage,Related match,101006,agricultural technology
4,D541,Forestry irrigation & drainage,Related match,100520,forestry and arboriculture
3,D590,Forestry not elsewhere classified,Related match,100520,forestry and arboriculture
1,D600,Food & beverage studies,Close match,101017,food and beverage studies
1,D610,Food science,Close match,100527,food science
1,D611,Meat science,Close match,101387,meat science
1,D612,Cereal science,Close match,101388,cereal science
3,D613,Vegetable science,Related match,100527,food science
3,D614,Fruit science,Related match,100527,food science
1,D620,Food hygiene,Close match,101018,food safety
1,D630,Food & beverage production,Close match,100526,food and beverage production
3,D631,Food & beverage manufacture,Related match,100526,food and beverage production
3,D632,Food & beverage processing,Related match,100526,food and beverage production
3,D633,Food & beverage technology,Related match,100526,food and beverage production
1,D634,Industrial baking,Close match,101021,baking technology management
1,D635,Industrial brewing,Close match,101022,brewing
1,D640,Food & beverages for the consumer,Close match,101215,food marketing
4,D641,Food & beverage packaging,Related match,100526,food and beverage production
4,D641,Food & beverage packaging,Related match,101215,food marketing
4,D642,Food & beverage delivery,Related match,100526,food and beverage production
4,D642,Food & beverage delivery,Related match,101215,food marketing
3,D690,Food & beverage studies not elsewhere classified,Related match,101017,food and beverage studies
1,D700,Agricultural sciences,Close match,100516,agricultural sciences
4,D710,Agricultural biology,Related match,100516,agricultural sciences
4,D710,Agricultural biology,Related match,100346,biology
4,D711,Agricultural microbiology,Related match,100516,agricultural sciences
4,D711,Agricultural microbiology,Related match,100353,microbiology
1,D720,Agricultural chemistry,Close match,101024,agricultural chemistry
4,D721,Agricultural biochemistry,Related match,100516,agricultural sciences
4,D721,Agricultural biochemistry,Related match,100344,biochemistry
2,D730,Agricultural botany,Close match,101025,agricultural botany
2,D730,Agricultural botany,Related match,100355,plant sciences
4,D740,Agricultural zoology,Related match,100516,agricultural sciences
4,D740,Agricultural zoology,Related match,100356,zoology
3,D750,Soil as an agricultural medium,Related match,101067,soil science
3,D790,Agricultural sciences not elsewhere classified,Related match,100516,agricultural sciences
3,D900,"Others in veterinary sciences, agriculture & related subjects",Related match,100516,agricultural sciences
3,D990,"Veterinary sciences, agriculture & related subjects not elsewhere classified",Related match,100516,agricultural sciences
2,F000,Physical sciences,Related match,100391,natural sciences
2,F000,Physical sciences,Close match,100424,physical sciences
2,F100,Chemistry,Related match,100392,applied science
2,F100,Chemistry,Close match,100417,chemistry
1,F110,Applied chemistry,Close match,101038,applied chemistry
